,점유율,슈팅,유효슈팅,파울,경고,퇴장,퇴장(경고누적),코너킥,프리킥,오프사이드,경기결과(스코어),평점
대구,38.67,8,2,17,4,0,0,3,22,5,0,5.7
FC서울,61.32,11,4,11,2,0,0,3,14,3,2,7.1
인천,33.13,8,5,10,3,0,0,4,14,4,1,7.1
FC서울,66.87,11,7,13,2,0,0,5,13,0,1,6.9
성남,23.50,3,3,9,1,0,0,2,11,2,0,6.7
FC서울,76.50,12,5,7,3,0,0,6,8,1,0,6.7
성남,41.55,10,6,10,1,0,0,5,11,1,2,7.1
FC서울,58.45,13,5,11,1,0,0,5,14,3,0,6.1
김천,59.63,9,8,9,1,0,0,4,14,5,2,6.9
FC서울,40.37,9,6,11,1,0,0,2,11,0,1,6.6
울산,57.78,18,14,20,0,0,0,7,21,1,1,6.2
FC서울,42.22,8,4,5,2,0,0,1,6,1,1,7.0
FC서울,32.79,10,6,17,0,0,0,3,17,0,1,6.9
제주,67.21,5,3,13,3,0,0,2,14,1,1,6.7
포항,70.54,13,6,7,1,0,0,9,10,3,2,6.8
FC서울,29.45,11,6,8,1,0,0,4,10,2,2,7.0
FC서울,65.30,11,7,11,3,0,0,5,12,1,2,7.1
강원,34.70,5,3,17,2,0,0,3,23,6,0,6.5
FC서울,41.29,8,4,11,2,0,0,5,15,4,1,6.7
수원,58.71,8,4,7,2,0,0,5,7,0,1,6.6
전북,76.49,13,5,12,2,0,0,9,15,3,3,7.1
FC서울,23.51,5,3,11,3,0,1,1,11,0,1,6.1
FC서울,67.64,18,6,11,2,0,0,4,12,1,1,7.1
수원FC,32.36,5,2,14,1,0,0,4,15,1,0,6.4
FC서울,33.21,7,2,11,3,0,0,2,13,2,1,7.0
포항,66.79,8,4,5,1,0,0,6,7,2,0,6.3
강원,74.63,16,8,6,2,0,0,11,8,2,0,6.7
FC서울,25.37,3,3,9,4,0,1,3,11,2,1,6.8
성남,56.96,17,5,7,1,0,0,9,10,3,2,6.8
FC서울,43.04,7,3,13,1,0,0,5,14,1,2,6.8
김천,42.18,9,3,8,3,0,0,6,10,2,0,6.5
수원,57.82,4,1,7,0,0,0,7,7,0,1,6.9
FC서울,41.63,6,3,7,2,0,0,1,8,1,1,7.0
FC서울,58.37,13,6,7,3,0,0,4,9,2,2,7.1
울산,63.06,17,10,16,2,0,0,3,17,1,1,7.1
FC서울,36.94,10,5,14,2,0,0,5,15,1,1,7.1
인천,38.00,10,5,11,1,0,0,1,12,1,2,6.8
FC서울,62.00,17,9,10,3,0,0,4,10,0,2,6.8
제주,60.77,13,6,11,2,0,0,7,11,0,0,6.4
FC서울,39.23,9,5,12,0,0,0,4,17,5,1,6.8
FC서울,36.92,13,12,10,0,0,0,5,10,0,4,6.8
전북,63.08,16,10,10,1,0,0,2,12,2,3,6.4
수원FC,64.51,18,8,12,2,0,0,6,13,1,2,6.8
FC서울,35.49,4,3,11,4,0,0,3,12,1,1,6.6
포항,31.13,7,4,12,1,0,0,1,14,2,2,7.2
FC서울,68.88,11,4,12,2,0,0,10,12,0,0,6.8
울산,75.69,12,5,10,3,0,0,7,11,1,2,6.8
FC서울,24.31,6,3,7,1,0,0,2,9,2,0,6.7
FC서울,46.52,10,6,15,1,0,0,7,17,2,1,6.7
제주,53.48,5,3,7,1,0,0,3,9,2,2,6.9
김천,51.85,17,10,12,0,0,0,5,14,2,1,6.8
FC서울,48.15,8,4,10,0,0,0,0,11,1,1,6.7
FC서울,64.05,11,5,12,2,1,0,6,13,1,0,6.4
성남,35.95,6,4,9,1,1,0,3,10,1,2,7.1
인천,48.07,9,4,6,2,0,0,1,6,0,1,6.8
FC서울,51.93,20,8,12,1,0,0,5,13,1,2,7.1
FC서울,69.99,11,6,15,5,0,1,6,16,1,1,6.2
수원,30.01,11,6,8,3,0,0,6,11,3,3,7.1
전북,55.33,9,6,12,0,0,0,3,18,6,0,6.5
FC서울,44.67,5,1,18,0,0,0,2,19,1,0,6.6
FC서울,45.04,15,10,6,1,0,0,6,6,0,3,6.8
수원FC,54.96,12,9,8,2,0,0,5,8,0,3,6.5
FC서울,63.78,13,3,6,3,0,0,4,8,2,1,6.8
강원,36.22,6,2,9,1,0,0,3,10,1,0,6.6
대구,30.58,17,11,8,2,0,0,4,10,2,3,7.3
FC서울,69.43,9,3,15,3,0,0,6,16,1,0,6.1
FC서울,68.46,9,5,12,4,0,0,6,14,2,2,6.6
대구,31.54,9,7,11,2,0,0,2,15,4,3,7.3
수원,35.81,5,3,9,4,0,1,4,10,1,0,6.6
FC서울,64.18,8,3,14,2,0,0,4,15,1,0,6.7
FC서울,35.07,9,5,8,0,0,0,3,11,3,1,6.8
김천,64.93,11,6,9,0,0,0,3,12,3,1,6.9
FC서울,58.56,9,4,8,1,0,0,6,11,3,0,6.7
성남,41.44,7,3,10,0,0,0,5,14,4,1,6.8
수원FC,54.53,10,5,9,0,0,0,5,10,1,0,6.5
FC서울,45.47,8,6,13,2,0,0,3,15,2,2,7.1
